OBJNAME,RA,DEC,Z,constellation
MCG +11-12-001,139.21141666666665,64.80994444444444,2.914e-02,Ursa Major
UGC 04917,139.56720833333333,47.94877777777778,2.756e-02,Ursa Major
CGCG 006-027,139.43875,1.0554166666666667,2.722e-02,Hydra
MCG +03-24-039,139.23170833333333,17.623361111111112,2.869e-02,Cancer
MRK 0704,139.608375,16.305333333333333,2.863e-02,Cancer
UGC 04930,139.80112499999998,48.967777777777776,2.921e-02,Ursa Major
UGC 04934,139.9008333333333,50.879555555555555,2.687e-02,Ursa Major
NGC 2826,139.85070833333333,33.624,2.115e-02,Lynx
CGCG 181-020,139.88654166666666,32.653638888888885,2.150e-02,Cancer
UGC 04940,139.9080833333333,27.457805555555556,2.594e-02,Cancer
IC 2461,139.99179166666664,37.19125,7.539e-03,Lynx
UGC 04949,140.00775,33.10202777777778,2.123e-02,Lynx
UGC 04950,140.03674999999998,39.16288888888889,2.792e-02,Lynx
UGC 04957,140.05520833333333,8.793,2.826e-02,Cancer
CGCG 181-030,140.15387499999997,33.07472222222223,2.154e-02,Lynx
UGC 04958,140.26099999999997,49.60230555555556,2.754e-02,Ursa Major
UGC 04962,140.16941666666668,15.100999999999999,2.881e-02,Cancer
MRK 0395,140.44299999999998,33.311138888888884,2.247e-02,Lynx
CGCG 181-034,140.4909583333333,33.006388888888885,2.090e-02,Lynx
KUG 0919+341,140.56099999999998,33.93769444444444,2.014e-02,Lynx
UGC 04980,140.57329166666665,4.708333333333334,2.798e-02,Hydra
CGCG 034-037,140.58954166666666,4.061194444444444,1.767e-02,Hydra
CGCG 265-011,140.899375,53.60194444444445,2.550e-02,Ursa Major
NGC 2853,140.8222083333333,40.20005555555556,5.947e-03,Lynx
CGCG 312-006,141.14441666666667,63.506277777777775,2.653e-02,Ursa Major
CGCG 181-039,140.94412499999999,35.48341666666667,2.658e-02,Leo Minor
CGCG 121-074,140.926875,22.34011111111111,2.971e-02,Leo
KUG 0921+483,141.10204166666668,48.17938888888889,2.995e-02,Ursa Major
CGCG 034-043,141.00458333333333,5.209388888888889,2.794e-02,Hydra
MRK 0397,141.06979166666667,17.80713888888889,8.513e-03,Leo
IC 0536,141.16708333333332,25.110194444444446,2.727e-02,Leo
KUG 0921+406,141.23604166666667,40.39958333333333,2.779e-02,Lynx
